,symbol,company,event_name,date,call_time,eps_estimate,reported_eps,surprise
101,GLRE,Greenlight Capital Re Ltd,Q4 2024  Earnings Release,2025-03-10,AMC,0.59,,
102,DRIO,DarioHealth Corp,Q4 2024  Earnings Release,2025-03-10,BMO,-0.24,,
103,CEPU,Central Puerto SA,Q4 2024  Earnings Release,2025-03-10,AMC,0.03,,
104,CAPR,Capricor Therapeutics Inc,Q4 2024  Earnings Release,2025-03-10,TNS,,,
105,WFPCF,Schroders Capital Global Innovation Trust PLC,Full Year 2024  Earnings Release,2025-03-10,TNS,,,
106,FDMSF,Fandifi Technology Corp,Q3 2024  Earnings Release,2025-03-10,AMC,,,
107,DALN,Dallasnews Corp,Q4 2024  Earnings Release,2025-03-10,TNS,,,
108,PCN,Pimco Corporate & Income Strategy Fund,Half Year 2024  Earnings Release,2025-03-10,AMC,,,
109,RSNVF,Reyna Silver Corp,Q4 2024  Earnings Release,2025-03-10,AMC,,,
110,FRMUF,Firm Capital Property Trust,Q4 2024  Earnings Release,2025-03-10,TNS,,,
111,CWVLF,Crown Point Energy Inc,Q4 2024  Earnings Release,2025-03-10,TNS,,,
112,HHLKF,Hot Chili Ltd,Half Year 2025  Earnings Release,2025-03-10,TNS,,,
113,ALTAF,Morella Corporation Ltd,Half Year 2025  Earnings Release,2025-03-10,TNS,,,
114,WLFC,Willis Lease Finance Corp,Q4 2024  Earnings Release,2025-03-10,BMO,,,
115,TLS,Telos Corp,Q4 2024  Earnings Release,2025-03-10,BMO,,,
116,WRFRF,Wharf Real Estate Investment Company Ltd,Full Year 2024  Earnings Release,2025-03-10,TNS,,,
117,WHREY,Wharf Real Estate Investment Company Ltd,Full Year 2024  Earnings Release,2025-03-10,TNS,,,
118,SITIF,SITC International Holdings Co Ltd,Full Year 2024  Earnings Release,2025-03-10,TNS,,,
119,SITIY,SITC International Holdings Co Ltd,Full Year 2024  Earnings Release,2025-03-10,TNS,,,
120,ORCL,Oracle Corp,Q3 2025  Earnings Release,2025-03-10,AMC,,,
121,GECC,Great Elm Capital Corp,Q4 2024  Earnings Release,2025-03-10,AMC,0.37,,
122,STHFF,Stelmine Canada Ltd,Q4 2024  Earnings Release,2025-03-10,TNS,,,
123,CFRXQ,ContraFect Corp,Q3 2024  Earnings Release,2025-03-10,AMC,,,
124,COHN,Cohen & Company Inc,Q4 2024  Earnings Release,2025-03-10,BMO,,,
125,TEUUF,European Smaller Companies Trust PLC,Half Year 2025  Earnings Release,2025-03-10,BMO,,,
126,CTHR,Charles & Colvard Ltd,Q1 2025  Earnings Release,2025-03-10,TNS,,,
127,CLKFF,Clarke Inc,Q4 2024  Earnings Release,2025-03-10,TNS,,,
128,CAN,Canaan Inc,Q4 2024  Earnings Release,2025-03-10,BMO,,,
129,DFCO,Dalrada Financial Corp,Q2 2025  Earnings Release,2025-03-10,AMC,,,
130,GORO,Gold Resource Corp,Q4 2024  Earnings Release,2025-03-10,AMC,-0.05,,
131,VIDE,Video Display Corp,Q3 2024  Earnings Release,2025-03-10,TNS,,,
132,CRBP,Corbus Pharmaceuticals Holdings Inc,Q4 2024  Earnings Release,2025-03-10,BMO,-1.02,,
133,CVGI,Commercial Vehicle Group Inc,Q4 2024  Earnings Release,2025-03-10,AMC,0.04,,
134,LCTX,Lineage Cell Therapeutics Inc,Q4 2024  Earnings Release,2025-03-10,AMC,,,
135,XOMAO,XOMA Royalty Corp,Q4 2024  Earnings Release,2025-03-10,BMO,,,
136,CKNHF,Clarkson PLC,Full Year 2024  Earnings Release,2025-03-10,BMO,,,
137,GRCLY,Grupo Clarin SA,Q4 2024  Earnings Release,2025-03-10,AMC,,,
138,CRTG,Coretec Group Inc,Q3 2024  Earnings Release,2025-03-10,TNS,,,
139,GCLAF,Grupo Clarin SA,Q4 2024  Earnings Release,2025-03-10,AMC,,,
140,VERF,Versailles Financial Corp,Q2 2025  Earnings Release,2025-03-10,TNS,,,
141,PLPC,Preformed Line Products Co,Q4 2024  Earnings Release,2025-03-10,TNS,,,
142,MKFG,Markforged Holding Corp,Q4 2024  Earnings Release,2025-03-10,TNS,-0.33,,
143,CMRX,Chimerix Inc,Q4 2024  Earnings Release,2025-03-10,BMO,-0.26,,
144,LOGC,ContextLogic Inc,Q4 2024  Earnings Release,2025-03-10,TNS,-0.01,,
145,CRDE,Cardinal Ethanol LLC,Q1 2025  Earnings Release,2025-03-10,TAS,,,
146,PTNRF,Partner Communications Company Ltd,Q4 2024  Earnings Release,2025-03-10,TNS,,,
147,CVVIF,Sociedad Comercial del Plata SA,Q4 2024  Earnings Release,2025-03-10,TNS,,,
148,FYIRF,Cadoux Ltd,Half Year 2025  Earnings Release,2025-03-10,TNS,,,
149,FNV,Franco-Nevada Corp,Q4 2025  Earnings Release,2025-03-10,BMO,0.9,,
150,RDW,Redwire Corp,Q4 2024  Earnings Release,2025-03-10,AMC,-0.14,,
151,WTRNF,Western Resources Corp,Q4 2024  Earnings Release,2025-03-10,AMC,,,
152,XOMA,XOMA Royalty Corp,Q4 2024  Earnings Release,2025-03-10,BMO,-0.28,,
153,MCBK,Madison County Financial Inc,Q4 2024  Earnings Release,2025-03-10,TNS,,,
154,OCC,Optical Cable Corp,Q1 2025  Earnings Release,2025-03-10,BMO,,,
155,XOMAP,XOMA Royalty Corp,Q4 2024  Earnings Release,2025-03-10,BMO,,,
156,DNIEF,Danieli & C Officine Meccaniche SpA,Half Year 2025  Earnings Release,2025-03-10,TNS,,,
157,TTMZF,Datable Technology Corp,Q2 2024  Earnings Release,2025-03-10,AMC,,,
158,RQI,Cohen & Steers Quality Income Realty Fund Inc,Full Year 2024  Earnings Release,2025-03-10,AMC,,,
159,GRMC,Goldrich Mining Co,Q4 2023  Earnings Release,2025-03-10,AMC,,,
160,LEVGQ,Lion Electric Co,Q4 2024  Earnings Release,2025-03-10,BMO,,,
161,GHVNF,Goldhaven Resources Corp,Q2 2025  Earnings Release,2025-03-10,AMC,,,
162,UTF,Cohen & Steers Infrastructure Fund Inc,Full Year 2024  Earnings Release,2025-03-10,TNS,,,
163,OOOOF,OOOOO Entertainment Commerce Ltd,Q2 2024  Earnings Release,2025-03-10,TAS,,,
164,DOUG,Douglas Elliman Inc,Q4 2024  Earnings Release,2025-03-10,AMC,-0.06,,
165,SIEVF,D'Ieteren Group SA,Full Year 2024 D'Ieteren Group NV Earnings Release,2025-03-10,TAS,,,
166,DWTX,Dogwood Therapeutics Inc,Q4 2024 Virios Therapeutics Inc Earnings Release,2025-03-10,BMO,-1.36,,
167,DPUKY,Domino's Pizza Group PLC,Full Year 2024  Earnings Release,2025-03-10,BMO,,,
168,DMPZF,Domino's Pizza Group PLC,Full Year 2024  Earnings Release,2025-03-10,BMO,,,
169,SIETY,D'Ieteren Group SA,Full Year 2024 D'Ieteren Group NV Earnings Release,2025-03-10,TAS,,,
170,MOPLF,Molinos Rio de la Plata SA,Q4 2024  Earnings Release,2025-03-10,TNS,,,
171,ENDI,Enterprise Diversified Inc,Q1 2024  Earnings Release,2025-03-10,AMC,,,
172,DALQF,D&L Industries Inc,Q4 2024  Earnings Release,2025-03-10,TNS,,,
173,DLNDY,D&L Industries Inc,Q4 2024  Earnings Release,2025-03-10,TNS,,,
174,FDENF,La Francaise de l Energie SA,Half Year 2025  Earnings Release,2025-03-10,TNS,,,
175,DSAIF,DeepSpatial Inc,Q4 2024  Earnings Release,2025-03-10,AMC,,,
176,DUUO,Duo World Inc,Q1 2024  Earnings Release,2025-03-10,BMO,,,
177,DTREF,Dateline Resources Ltd,Half Year 2025  Earnings Release,2025-03-10,TNS,,,
178,DXYN,Dixie Group Inc,Q4 2024  Earnings Release,2025-03-10,BMO,,,
179,GOLXF,Golden Lake Exploration Inc,Q4 2024  Earnings Release,2025-03-10,AMC,,,
180,EGHSF,Enghouse Systems Ltd,Q1 2025  Earnings Release,2025-03-10,AMC,,,
181,TXEMF,Templeton Emerging Markets Investment Trust PLC,Half Year 2025  Earnings Release,2025-03-10,TNS,,,
182,JRNGF,Journey Energy Inc,Q4 2024  Earnings Release,2025-03-10,TNS,,,
183,GNE,Genie Energy Ltd,Q4 2024  Earnings Release,2025-03-10,TAS,,,
184,SD,SandRidge Energy Inc,Q4 2024  Earnings Release,2025-03-10,AMC,0.48,,
185,XESP,Electronic Servitor Publication Network Inc,Q2 2024  Earnings Release,2025-03-10,AMC,,,
186,EHGRF,Star Entertainment Group Ltd,Half Year 2025  Earnings Release,2025-03-10,TNS,,,
187,LVVV,Livewire Ergogenics Inc,Q3 2024  Earnings Release,2025-03-10,TNS,,,
188,OTTEF,Otto Energy Ltd,Half Year 2025  Earnings Release,2025-03-10,TNS,,,
189,HPK,Highpeak Energy Inc,Q4 2024  Earnings Release,2025-03-10,AMC,0.15,,
190,GROM,Grom Social Enterprises Inc,Q3 2024  Earnings Release,2025-03-10,BMO,,,
191,KFS,Kingsway Financial Services Inc,Q4 2024  Earnings Release,2025-03-10,AMC,,,
192,FTK,Flotek Industries Inc,Q4 2024  Earnings Release,2025-03-10,AMC,0.09,,
193,FENC,Fennec Pharmaceuticals Inc,Q4 2024  Earnings Release,2025-03-10,BMO,0.02,,
194,FIFG,First Foods Group Inc,Q3 2024  Earnings Release,2025-03-10,AMC,,,
195,PFN,PIMCO Income Strategy Fund II,Half Year 2024  Earnings Release,2025-03-10,AMC,,,
196,IFN,India Fund Inc,Full Year 2024  Earnings Release,2025-03-10,AMC,,,
197,GHIFF,Gamehost Inc,Q4 2024  Earnings Release,2025-03-10,AMC,,,
198,TGLTY,GCDI SA,Q4 2024  Earnings Release,2025-03-10,TNS,,,
199,GLDAF,GlobalData PLC,Full Year 2024  Earnings Release,2025-03-10,BMO,,,
200,HSAI,Hesai Group,Q4 2024  Earnings Release,2025-03-10,AMC,,,
201,STKS,One Group Hospitality Inc,Q4 2024  Earnings Release,2025-03-10,AMC,0.22,,
202,IRD,Opus Genetics Inc,Q4 2024  Earnings Release,2025-03-10,BMO,,,
203,GLOP-PA,GasLog Partners LP,Q4 2024  Earnings Release,2025-03-10,BMO,,,
204,GAIA,Gaia Inc,Q4 2024  Earnings Release,2025-03-10,AMC,-0.05,,
205,YALA,Yalla Group Ltd,Q4 2024  Earnings Release,2025-03-10,AMC,,,
206,SPIR,Spire Global Inc,Q4 2024  Earnings Release,2025-03-10,AMC,,,
207,PRWYF,Prodways Group SA,Full Year 2024  Earnings Release,2025-03-10,TNS,,,
208,GENC,Gencor Industries Inc,Q1 2025  Earnings Release,2025-03-10,TNS,,,
209,GLOP-PB,GasLog Partners LP,Q4 2024  Earnings Release,2025-03-10,BMO,,,
210,MRC,MRC Global Inc,Q4 2024  Earnings Release,2025-03-10,AMC,0.13,,
211,JUBPF,Jubilee Metals Group PLC,Half Year 2025  Earnings Release,2025-03-10,BMO,,,
212,WKHS,Workhorse Group Inc,Q4 2024  Earnings Release,2025-03-10,TNS,,,
213,HDGHF,Haydale Graphene Industries PLC,Half Year 2025  Earnings Release,2025-03-10,BMO,,,
214,GEVO,Gevo Inc,Q4 2024  Earnings Release,2025-03-10,AMC,-0.06,,
215,GLTO,Galecto Inc,Q4 2024  Earnings Release,2025-03-10,AMC,-3.41,,
